circuit,backend,p_2q,E_noisy,E_genuine_rich,E_garbage_rich,E_analytical,neg_genuine_frac,neg_genuine_L1,neg_genuine_n,neg_genuine_Pmin,neg_garbage_frac,neg_garbage_L1,neg_garbage_n,neg_garbage_Pmin
qft_mirror,aer_simulator,0.000916,0.954094,0.999720,1.788004,1.775254,0.6094,0.000123,39,-0.000009,0.8000,0.843693,51,-0.078249
qft_mirror,aer_simulator,0.001318,0.934678,0.999208,1.750532,1.738849,0.6406,0.000341,41,-0.000025,0.8156,0.802967,52,-0.073287
qft_mirror,aer_simulator,0.001896,0.907482,0.997811,1.698171,1.687857,0.6406,0.000914,41,-0.000065,0.8281,0.753773,53,-0.066784
qft_mirror,aer_simulator,0.002728,0.869831,0.994132,1.625899,1.617262,0.6719,0.002338,43,-0.000163,0.8187,0.699843,52,-0.058594
qft_mirror,aer_simulator,0.003924,0.818567,0.984922,1.527858,1.521141,0.7031,0.005617,45,-0.000379,0.8187,0.642883,52,-0.048844
qft_mirror,aer_simulator,0.005644,0.750414,0.963427,1.398065,1.393354,0.6875,0.012469,44,-0.000787,0.7937,0.581740,51,-0.038422
qft_mirror,aer_simulator,0.008119,0.662846,0.917813,1.232028,1.229164,0.6719,0.024705,43,-0.001376,0.7594,0.511575,49,-0.028323
qft_mirror,aer_simulator,0.011679,0.555665,0.832431,1.029629,1.028200,0.6094,0.042473,39,-0.001807,0.6937,0.429714,44,-0.019621
qft_mirror,aer_simulator,0.016799,0.433199,0.696236,0.799116,0.798576,0.5469,0.060547,35,-0.002190,0.6125,0.338705,39,-0.013550
qft_mirror,aer_simulator,0.024165,0.306146,0.517395,0.560490,0.560352,0.5156,0.064480,33,-0.002912,0.5312,0.237471,34,-0.011359
qft_mirror,aer_simulator,0.034760,0.190817,0.329829,0.344131,0.344111,0.3125,0.041096,20,-0.003993,0.4375,0.116941,28,-0.009036
qft_mirror,aer_simulator,0.050000,0.103377,0.176474,0.180162,0.180161,0.1250,0.014742,8,-0.002975,0.1562,0.030075,10,-0.004957
