job,schedule,label,rep,n_qubits,exp_val,n_shots,ideal,timestamp
j8_drift_design,blocked,A,0,4,0.779785,4096,0.981197,2026-06-21T15:33:50.446091+00:00
j8_drift_design,blocked,A,1,4,0.754395,4096,0.981197,2026-06-21T15:33:57.439856+00:00
j8_drift_design,blocked,A,2,4,0.782227,4096,0.981197,2026-06-21T15:34:02.151588+00:00
j8_drift_design,blocked,A,3,4,0.749512,4096,0.981197,2026-06-21T15:34:09.042411+00:00
j8_drift_design,blocked,A,4,4,0.762207,4096,0.981197,2026-06-21T15:34:15.988052+00:00
j8_drift_design,blocked,A,5,4,0.790527,4096,0.981197,2026-06-21T15:34:22.947203+00:00
j8_drift_design,blocked,A,6,4,0.762695,4096,0.981197,2026-06-21T15:34:27.801129+00:00
j8_drift_design,blocked,A,7,4,0.753906,4096,0.981197,2026-06-21T15:34:34.708595+00:00
j8_drift_design,blocked,A,8,4,0.785156,4096,0.981197,2026-06-21T15:34:41.422795+00:00
j8_drift_design,blocked,A,9,4,0.760742,4096,0.981197,2026-06-21T15:34:48.216394+00:00
j8_drift_design,blocked,A,10,4,0.770020,4096,0.981197,2026-06-21T15:34:55.180211+00:00
j8_drift_design,blocked,A,11,4,0.765137,4096,0.981197,2026-06-21T15:35:00.100012+00:00
j8_drift_design,blocked,A,12,4,0.766602,4096,0.981197,2026-06-21T15:35:07.240888+00:00
j8_drift_design,blocked,A,13,4,0.758789,4096,0.981197,2026-06-21T15:35:12.067427+00:00
j8_drift_design,blocked,A,14,4,0.755371,4096,0.981197,2026-06-21T15:35:19.086520+00:00
j8_drift_design,blocked,A,15,4,0.770996,4096,0.981197,2026-06-21T15:35:25.994506+00:00
j8_drift_design,blocked,A,16,4,0.766602,4096,0.981197,2026-06-21T15:35:33.185404+00:00
j8_drift_design,blocked,A,17,4,0.768555,4096,0.981197,2026-06-21T15:35:38.078177+00:00
j8_drift_design,blocked,A,18,4,0.765625,4096,0.981197,2026-06-21T15:35:45.071559+00:00
