job,rep,n_qubits,exp_val,n_shots,ideal,timestamp
j9_allan_probe,0,4,0.734375,2048,0.981197,2026-06-21T15:51:27.989455+00:00
j9_allan_probe,1,4,0.761719,2048,0.981197,2026-06-21T15:51:32.897958+00:00
j9_allan_probe,2,4,0.762695,2048,0.981197,2026-06-21T15:51:39.911709+00:00
j9_allan_probe,3,4,0.758789,2048,0.981197,2026-06-21T15:51:46.936467+00:00
j9_allan_probe,4,4,0.742188,2048,0.981197,2026-06-21T15:51:51.872755+00:00
j9_allan_probe,5,4,0.761719,2048,0.981197,2026-06-21T15:51:59.016080+00:00
j9_allan_probe,6,4,0.771484,2048,0.981197,2026-06-21T15:52:05.903080+00:00
j9_allan_probe,7,4,0.778320,2048,0.981197,2026-06-21T15:52:10.684044+00:00
j9_allan_probe,8,4,0.783203,2048,0.981197,2026-06-21T15:52:17.670395+00:00
j9_allan_probe,9,4,0.791992,2048,0.981197,2026-06-21T15:52:24.598067+00:00
j9_allan_probe,10,4,0.773438,2048,0.981197,2026-06-21T15:52:31.424941+00:00
j9_allan_probe,11,4,0.755859,2048,0.981197,2026-06-21T15:52:36.108974+00:00
j9_allan_probe,12,4,0.763672,2048,0.981197,2026-06-21T15:52:43.039085+00:00
j9_allan_probe,13,4,0.780273,2048,0.981197,2026-06-21T15:52:50.259285+00:00
j9_allan_probe,14,4,0.760742,2048,0.981197,2026-06-21T15:52:55.137278+00:00
j9_allan_probe,15,4,0.757812,2048,0.981197,2026-06-21T15:53:02.067430+00:00
j9_allan_probe,16,4,0.776367,2048,0.981197,2026-06-21T15:53:09.015754+00:00
j9_allan_probe,17,4,0.763672,2048,0.981197,2026-06-21T15:53:15.750815+00:00
j9_allan_probe,18,4,0.775391,2048,0.981197,2026-06-21T15:53:22.622261+00:00
j9_allan_probe,19,4,0.768555,2048,0.981197,2026-06-21T15:53:27.466654+00:00
j9_allan_probe,20,4,0.782227,2048,0.981197,2026-06-21T15:53:34.347793+00:00
j9_allan_probe,21,4,0.781250,2048,0.981197,2026-06-21T15:53:41.118987+00:00
j9_allan_probe,22,4,0.786133,2048,0.981197,2026-06-21T15:53:45.918465+00:00
j9_allan_probe,23,4,0.773438,2048,0.981197,2026-06-21T15:53:53.001862+00:00
j9_allan_probe,24,4,0.759766,2048,0.981197,2026-06-21T15:54:00.115872+00:00
j9_allan_probe,25,4,0.746094,2048,0.981197,2026-06-21T15:54:07.135017+00:00
j9_allan_probe,26,4,0.769531,2048,0.981197,2026-06-21T15:54:11.862566+00:00
j9_allan_probe,27,4,0.756836,2048,0.981197,2026-06-21T15:54:18.938401+00:00
