job,method,backend,rep,scale_factor,n_qubits,exp_val,n_shots,ideal,layout,timestamp,counts
j4_depth_tc5,genuine,EQE1,0,1.0,4,0.427246,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:31:57.519618+00:00,"{""0000"": 2638, ""1000"": 342, ""1010"": 47, ""1100"": 80, ""0010"": 363, ""0110"": 80, ""0100"": 325, ""0001"": 93, ""1001"": 12, ""1110"": 20, ""0111"": 24, ""0011"": 51, ""0101"": 13, ""1011"": 5, ""1111"": 2, ""1101"": 1}"
j4_depth_tc5,genuine,EQE1,0,3.0,4,-0.061035,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:31:57.519618+00:00,"{""1000"": 587, ""0000"": 775, ""0100"": 590, ""0001"": 44, ""1101"": 35, ""1100"": 411, ""1110"": 238, ""1010"": 339, ""0110"": 274, ""0010"": 644, ""0011"": 36, ""0101"": 31, ""1111"": 18, ""1001"": 39, ""1011"": 19, ""0111"": 16}"
j4_depth_tc5,genuine,EQE1,0,5.0,4,-0.049805,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:31:57.519618+00:00,"{""1000"": 507, ""0100"": 745, ""0110"": 414, ""0000"": 524, ""1110"": 326, ""0010"": 431, ""1100"": 545, ""0011"": 39, ""1010"": 297, ""0101"": 59, ""1101"": 40, ""1111"": 27, ""0001"": 46, ""1011"": 24, ""1001"": 41, ""0111"": 31}"
j4_depth_tc5,genuine,EQE1,1,1.0,4,0.433594,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:10.987503+00:00,"{""0000"": 2659, ""0001"": 114, ""0110"": 76, ""0100"": 297, ""1000"": 346, ""0010"": 356, ""1110"": 31, ""1100"": 69, ""0011"": 45, ""1010"": 50, ""0101"": 25, ""1011"": 4, ""0111"": 10, ""1001"": 10, ""1101"": 2, ""1111"": 2}"
j4_depth_tc5,genuine,EQE1,1,3.0,4,-0.026367,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:10.987503+00:00,"{""1100"": 419, ""0000"": 893, ""0110"": 268, ""1110"": 210, ""0100"": 604, ""0010"": 622, ""0001"": 48, ""1010"": 290, ""1000"": 559, ""1101"": 22, ""0011"": 26, ""0101"": 46, ""1011"": 17, ""1001"": 33, ""0111"": 20, ""1111"": 19}"
j4_depth_tc5,genuine,EQE1,1,5.0,4,-0.030762,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:10.987503+00:00,"{""0000"": 585, ""0111"": 37, ""0010"": 420, ""0110"": 390, ""1010"": 319, ""0100"": 661, ""1110"": 322, ""1100"": 557, ""1000"": 576, ""1101"": 38, ""0001"": 31, ""1001"": 24, ""0011"": 41, ""1011"": 26, ""0101"": 40, ""1111"": 29}"
j4_depth_tc5,genuine,EQE1,2,1.0,4,0.438477,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:24.463873+00:00,"{""0000"": 2658, ""0100"": 320, ""1000"": 351, ""1001"": 14, ""0011"": 48, ""0010"": 329, ""1010"": 60, ""1101"": 6, ""1100"": 69, ""0001"": 99, ""0110"": 75, ""1011"": 8, ""0101"": 18, ""0111"": 17, ""1110"": 20, ""1111"": 4}"
j4_depth_tc5,genuine,EQE1,2,3.0,4,-0.032715,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:24.463873+00:00,"{""1000"": 579, ""1100"": 472, ""0000"": 799, ""1010"": 287, ""0010"": 632, ""0110"": 303, ""1110"": 234, ""0111"": 19, ""0100"": 569, ""0011"": 34, ""0101"": 39, ""1101"": 24, ""1001"": 31, ""1011"": 17, ""0001"": 41, ""1111"": 16}"
j4_depth_tc5,genuine,EQE1,2,5.0,4,-0.013184,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:24.463873+00:00,"{""0100"": 642, ""0001"": 28, ""0110"": 391, ""1110"": 294, ""1010"": 326, ""1000"": 559, ""1100"": 569, ""0000"": 577, ""0010"": 438, ""0111"": 45, ""0011"": 33, ""1101"": 40, ""0101"": 52, ""1001"": 38, ""1011"": 29, ""1111"": 35}"
j4_depth_tc5,genuine,EQE1,3,1.0,4,0.426270,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:35.938758+00:00,"{""0000"": 2614, ""1100"": 75, ""1000"": 361, ""0010"": 367, ""0100"": 302, ""1111"": 4, ""1001"": 21, ""0101"": 18, ""0001"": 96, ""1010"": 59, ""0011"": 48, ""0110"": 82, ""0111"": 11, ""1110"": 21, ""1011"": 13, ""1101"": 4}"
j4_depth_tc5,genuine,EQE1,3,3.0,4,-0.031738,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:35.938758+00:00,"{""1100"": 438, ""0000"": 829, ""0010"": 645, ""1010"": 296, ""1000"": 556, ""0100"": 569, ""0110"": 299, ""1110"": 228, ""0001"": 50, ""1101"": 27, ""0101"": 50, ""1001"": 33, ""1111"": 20, ""1011"": 17, ""0111"": 21, ""0011"": 18}"
j4_depth_tc5,genuine,EQE1,3,5.0,4,-0.043457,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:35.938758+00:00,"{""1100"": 564, ""0010"": 427, ""1000"": 527, ""0100"": 684, ""0000"": 529, ""0111"": 38, ""1110"": 325, ""0110"": 391, ""1010"": 309, ""1101"": 57, ""1001"": 38, ""0101"": 50, ""1111"": 28, ""0011"": 50, ""0001"": 48, ""1011"": 31}"
j4_depth_tc5,genuine,EQE1,4,1.0,4,0.403809,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:49.445853+00:00,"{""0010"": 353, ""0000"": 2608, ""0100"": 322, ""1000"": 397, ""0110"": 76, ""1100"": 56, ""0001"": 103, ""0101"": 28, ""0011"": 44, ""1101"": 6, ""1110"": 21, ""1010"": 46, ""1001"": 11, ""0111"": 12, ""1111"": 6, ""1011"": 7}"
j4_depth_tc5,genuine,EQE1,4,3.0,4,-0.017578,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:49.445853+00:00,"{""0100"": 566, ""1110"": 201, ""1100"": 436, ""0010"": 644, ""0011"": 40, ""0000"": 846, ""0110"": 288, ""1000"": 566, ""1001"": 34, ""1010"": 313, ""1101"": 26, ""1111"": 17, ""1011"": 19, ""0001"": 38, ""0111"": 24, ""0101"": 38}"
j4_depth_tc5,genuine,EQE1,4,5.0,4,-0.016113,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:32:49.445853+00:00,"{""1100"": 488, ""0111"": 33, ""0000"": 609, ""1110"": 306, ""1000"": 583, ""0110"": 400, ""0100"": 637, ""1010"": 343, ""0001"": 44, ""0010"": 416, ""1011"": 21, ""0101"": 67, ""0011"": 38, ""1101"": 41, ""1001"": 37, ""1111"": 33}"
j4_depth_tc5,genuine,EQE1,5,1.0,4,0.434570,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:33:00.585420+00:00,"{""0100"": 303, ""0000"": 2640, ""0010"": 351, ""0001"": 107, ""1000"": 347, ""0101"": 27, ""1100"": 80, ""0011"": 54, ""0110"": 68, ""1110"": 28, ""1101"": 6, ""0111"": 9, ""1010"": 49, ""1011"": 7, ""1001"": 18, ""1111"": 2}"
j4_depth_tc5,genuine,EQE1,5,3.0,4,-0.062988,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:33:00.585420+00:00,"{""1000"": 557, ""1110"": 210, ""0100"": 629, ""0000"": 774, ""1100"": 429, ""0110"": 298, ""0010"": 661, ""0111"": 26, ""1010"": 305, ""1101"": 31, ""0001"": 44, ""1111"": 26, ""0101"": 33, ""0011"": 25, ""1011"": 19, ""1001"": 29}"
j4_depth_tc5,genuine,EQE1,5,5.0,4,-0.039062,4096,0.882777,"[8, 9, 10, 11]",2026-06-21T08:33:00.585420+00:00,"{""0010"": 448, ""0100"": 655, ""1100"": 561, ""1000"": 553, ""0000"": 544, ""0110"": 401, ""1010"": 286, ""0101"": 70, ""1110"": 324, ""0111"": 39, ""0001"": 39, ""0011"": 45, ""1111"": 20, ""1011"": 31, ""1101"": 39, ""1001"": 41}"
