job,method,backend,rep,scale_factor,n_qubits,exp_val,n_shots,ideal,layout,timestamp,counts
j4_depth_tc1,genuine,EQE1,0,1.0,4,0.816406,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:09:48.866175+00:00,"{""0000"": 3673, ""1000"": 123, ""0001"": 35, ""0110"": 16, ""0010"": 166, ""0100"": 49, ""1100"": 6, ""0011"": 10, ""1010"": 11, ""1110"": 1, ""1001"": 3, ""1101"": 2, ""0101"": 1}"
j4_depth_tc1,genuine,EQE1,0,3.0,4,0.468750,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:09:48.866175+00:00,"{""0000"": 2817, ""0010"": 532, ""0001"": 35, ""1000"": 223, ""0110"": 113, ""1100"": 25, ""0100"": 286, ""1010"": 38, ""0111"": 3, ""1110"": 9, ""0011"": 9, ""1001"": 5, ""0101"": 1}"
j4_depth_tc1,genuine,EQE1,0,5.0,4,0.140625,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:09:48.866175+00:00,"{""0000"": 1393, ""0110"": 709, ""0010"": 895, ""0100"": 545, ""1000"": 190, ""1110"": 100, ""1100"": 87, ""1001"": 3, ""1010"": 124, ""0101"": 6, ""0001"": 14, ""1011"": 4, ""0111"": 9, ""0011"": 14, ""1101"": 3}"
j4_depth_tc1,genuine,EQE1,1,1.0,4,0.801758,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:09:58.131325+00:00,"{""0000"": 3640, ""0010"": 175, ""1000"": 115, ""0100"": 62, ""0011"": 16, ""0001"": 54, ""0110"": 21, ""1100"": 9, ""0101"": 1, ""1010"": 2, ""1001"": 1}"
j4_depth_tc1,genuine,EQE1,1,3.0,4,0.457520,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:09:58.131325+00:00,"{""0000"": 2774, ""1010"": 33, ""0110"": 131, ""0010"": 580, ""1000"": 198, ""0100"": 280, ""1100"": 31, ""0001"": 41, ""0101"": 6, ""0011"": 9, ""0111"": 5, ""1110"": 7, ""1001"": 1}"
j4_depth_tc1,genuine,EQE1,1,5.0,4,0.124512,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:09:58.131325+00:00,"{""0010"": 877, ""1110"": 93, ""0110"": 698, ""0000"": 1370, ""0100"": 607, ""1010"": 115, ""1000"": 192, ""1100"": 85, ""0101"": 14, ""0111"": 3, ""1101"": 3, ""1001"": 6, ""0001"": 16, ""0011"": 13, ""1011"": 2, ""1111"": 2}"
j4_depth_tc1,genuine,EQE1,2,1.0,4,0.797852,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:10:07.422929+00:00,"{""0000"": 3638, ""1000"": 121, ""0010"": 177, ""0001"": 54, ""0100"": 59, ""0011"": 9, ""0110"": 20, ""1110"": 3, ""1100"": 7, ""1001"": 1, ""1010"": 6, ""0101"": 1}"
j4_depth_tc1,genuine,EQE1,2,3.0,4,0.461426,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:10:07.422929+00:00,"{""0000"": 2782, ""0100"": 310, ""0010"": 538, ""0001"": 32, ""1000"": 205, ""0110"": 138, ""0011"": 7, ""1110"": 14, ""1010"": 37, ""1100"": 24, ""1101"": 1, ""1011"": 2, ""0101"": 4, ""1001"": 1, ""0111"": 1}"
j4_depth_tc1,genuine,EQE1,2,5.0,4,0.136230,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:10:07.422929+00:00,"{""0110"": 715, ""0000"": 1374, ""0111"": 11, ""1110"": 78, ""0010"": 930, ""0100"": 515, ""1000"": 213, ""1010"": 123, ""1100"": 92, ""0101"": 9, ""0011"": 12, ""0001"": 20, ""1001"": 2, ""1011"": 2}"
j4_depth_tc1,genuine,EQE1,3,1.0,4,0.807129,4096,0.995010,"[8, 9, 10, 11]",2026-06-21T08:10:16.496732+00:00,"{""0000"": 3650, ""1000"": 120, ""0001"": 52, ""0010"": 161, ""0011"": 14, ""0100"": 61, ""0110"": 18, ""1100"": 12, ""1010"": 2, ""1001"": 4, ""0101"": 1, ""1110"": 1}"
