job,method,backend,rep,scale_factor,n_qubits,exp_val,n_shots,ideal,layout,timestamp,counts
j11_czne_destroyed,genuine,EQE1,0,1.0,4,0.767578,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:33:57.171605+00:00,"{""0000"": 3576, ""0010"": 173, ""0100"": 59, ""1000"": 184, ""1100"": 7, ""0001"": 59, ""0011"": 12, ""1010"": 3, ""1110"": 1, ""0110"": 14, ""1001"": 4, ""0101"": 4}"
j11_czne_destroyed,genuine,EQE1,0,3.0,4,0.421387,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:33:57.171605+00:00,"{""0000"": 2645, ""1000"": 257, ""1010"": 51, ""0010"": 527, ""1100"": 44, ""0100"": 353, ""0001"": 29, ""0110"": 144, ""1110"": 14, ""0101"": 10, ""1011"": 4, ""0011"": 16, ""1001"": 1, ""0111"": 1}"
j11_czne_destroyed,genuine,EQE1,0,5.0,4,0.114258,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:33:57.171605+00:00,"{""0110"": 680, ""0000"": 1301, ""1100"": 104, ""0010"": 908, ""1110"": 98, ""1010"": 170, ""0100"": 574, ""1000"": 212, ""0001"": 13, ""0011"": 17, ""0111"": 5, ""0101"": 6, ""1001"": 2, ""1101"": 4, ""1111"": 2}"
j11_czne_destroyed,genuine,EQE1,1,1.0,4,0.779785,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:34:08.465065+00:00,"{""0000"": 3594, ""1000"": 172, ""0010"": 150, ""0001"": 65, ""0100"": 62, ""0011"": 7, ""0110"": 16, ""1010"": 9, ""1100"": 16, ""0111"": 1, ""1001"": 3, ""1110"": 1}"
j11_czne_destroyed,genuine,EQE1,1,3.0,4,0.393066,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:34:08.465065+00:00,"{""0000"": 2609, ""0100"": 318, ""1100"": 46, ""0110"": 135, ""0010"": 595, ""1000"": 257, ""1010"": 48, ""0111"": 6, ""1110"": 20, ""0001"": 46, ""0011"": 7, ""0101"": 4, ""1001"": 4, ""1101"": 1}"
j11_czne_destroyed,genuine,EQE1,1,5.0,4,0.125000,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:34:08.465065+00:00,"{""0100"": 566, ""0010"": 840, ""1110"": 114, ""0110"": 715, ""0001"": 22, ""0000"": 1304, ""1000"": 238, ""1100"": 109, ""1010"": 136, ""0111"": 8, ""1001"": 7, ""1011"": 3, ""0011"": 20, ""0101"": 12, ""1111"": 1, ""1101"": 1}"
j11_czne_destroyed,genuine,EQE1,2,1.0,4,0.769043,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:34:17.548856+00:00,"{""0000"": 3589, ""1000"": 177, ""0010"": 175, ""0001"": 60, ""0100"": 59, ""0110"": 10, ""1010"": 7, ""1001"": 3, ""1100"": 9, ""1110"": 1, ""0011"": 5, ""1101"": 1}"
j11_czne_destroyed,genuine,EQE1,2,3.0,4,0.410156,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:34:17.548856+00:00,"{""0000"": 2635, ""1000"": 246, ""0100"": 363, ""0010"": 561, ""0110"": 141, ""1100"": 44, ""1010"": 53, ""0001"": 25, ""0101"": 3, ""1110"": 10, ""1001"": 6, ""0011"": 6, ""0111"": 2, ""1011"": 1}"
j11_czne_destroyed,genuine,EQE1,2,5.0,4,0.098145,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:34:17.548856+00:00,"{""0000"": 1305, ""1000"": 223, ""1100"": 98, ""0010"": 878, ""0110"": 664, ""0100"": 611, ""0001"": 17, ""1010"": 161, ""1110"": 105, ""1101"": 2, ""1011"": 4, ""0101"": 9, ""0111"": 7, ""0011"": 6, ""1001"": 4, ""1111"": 2}"
j11_czne_destroyed,genuine,EQE1,3,1.0,4,0.750488,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T16:34:26.387399+00:00,"{""0000"": 3534, ""0010"": 173, ""1000"": 221, ""0001"": 53, ""0100"": 61, ""1100"": 16, ""0011"": 10, ""1010"": 6, ""0110"": 14, ""1110"": 2, ""1011"": 1, ""1001"": 4, ""0101"": 1}"
