job,method,backend,rep,scale_factor,n_qubits,exp_val,n_shots,ideal,layout,timestamp,counts
j14_czne_destroyed,genuine,EQE1,0,1.0,4,0.744141,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:25.491021+00:00,"{""0000"": 3519, ""1000"": 218, ""0100"": 70, ""0010"": 182, ""0001"": 52, ""0110"": 17, ""0011"": 12, ""0111"": 2, ""1010"": 15, ""1100"": 9}"
j14_czne_destroyed,genuine,EQE1,0,3.0,4,0.402344,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:25.491021+00:00,"{""0010"": 534, ""0000"": 2620, ""0100"": 345, ""1000"": 278, ""1100"": 38, ""1110"": 21, ""0110"": 142, ""0001"": 41, ""0011"": 5, ""1010"": 56, ""0111"": 4, ""0101"": 7, ""1101"": 1, ""1001"": 4}"
j14_czne_destroyed,genuine,EQE1,0,5.0,4,0.127930,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:25.491021+00:00,"{""0000"": 1350, ""0010"": 864, ""0110"": 674, ""1000"": 234, ""0100"": 558, ""1100"": 108, ""0101"": 6, ""1010"": 157, ""0001"": 15, ""1110"": 98, ""0011"": 11, ""0111"": 14, ""1001"": 3, ""1111"": 1, ""1101"": 2, ""1011"": 1}"
j14_czne_destroyed,genuine,EQE1,1,1.0,4,0.748535,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:34.749510+00:00,"{""0000"": 3527, ""0010"": 173, ""1000"": 219, ""0100"": 60, ""1010"": 10, ""0110"": 16, ""0001"": 61, ""1100"": 12, ""1001"": 3, ""0011"": 11, ""0101"": 2, ""1110"": 2}"
j14_czne_destroyed,genuine,EQE1,1,3.0,4,0.409668,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:34.749510+00:00,"{""0010"": 575, ""0000"": 2614, ""0011"": 9, ""0110"": 139, ""1010"": 65, ""1000"": 249, ""0001"": 51, ""0100"": 315, ""0111"": 1, ""1100"": 53, ""0101"": 4, ""1110"": 18, ""1001"": 3}"
j14_czne_destroyed,genuine,EQE1,1,5.0,4,0.109863,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:34.749510+00:00,"{""0110"": 694, ""1010"": 167, ""0000"": 1282, ""0010"": 839, ""1000"": 238, ""0100"": 594, ""1100"": 102, ""1110"": 121, ""1111"": 2, ""0101"": 12, ""0111"": 14, ""1011"": 5, ""0011"": 10, ""1001"": 4, ""0001"": 11, ""1101"": 1}"
j14_czne_destroyed,genuine,EQE1,2,1.0,4,0.763672,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:44.213395+00:00,"{""0000"": 3558, ""1000"": 193, ""0100"": 75, ""0001"": 50, ""0011"": 11, ""0010"": 163, ""0110"": 19, ""1010"": 7, ""1100"": 14, ""1011"": 2, ""0101"": 1, ""1001"": 2, ""1110"": 1}"
j14_czne_destroyed,genuine,EQE1,2,3.0,4,0.404297,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:44.213395+00:00,"{""0000"": 2617, ""0100"": 324, ""0011"": 9, ""1010"": 60, ""0010"": 575, ""1000"": 268, ""1100"": 41, ""0110"": 140, ""0001"": 33, ""1001"": 2, ""1110"": 15, ""1101"": 1, ""0101"": 7, ""1011"": 1, ""0111"": 3}"
j14_czne_destroyed,genuine,EQE1,2,5.0,4,0.126465,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:44.213395+00:00,"{""0010"": 843, ""0110"": 692, ""1010"": 156, ""0000"": 1326, ""0100"": 570, ""1000"": 240, ""1100"": 107, ""1110"": 111, ""0101"": 8, ""0001"": 10, ""1111"": 1, ""1101"": 3, ""1001"": 6, ""0111"": 10, ""0011"": 11, ""1011"": 2}"
j14_czne_destroyed,genuine,EQE1,3,1.0,4,0.737305,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:53.641094+00:00,"{""0000"": 3506, ""1000"": 227, ""0001"": 65, ""0010"": 196, ""1100"": 8, ""0011"": 10, ""0100"": 50, ""0110"": 20, ""1010"": 12, ""0101"": 1, ""1001"": 1}"
j14_czne_destroyed,genuine,EQE1,3,3.0,4,0.439453,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:53.641094+00:00,"{""0000"": 2714, ""0100"": 346, ""0010"": 485, ""0110"": 138, ""0011"": 8, ""1000"": 267, ""0001"": 30, ""1010"": 44, ""0101"": 13, ""1100"": 28, ""1110"": 19, ""1001"": 3, ""0111"": 1}"
j14_czne_destroyed,genuine,EQE1,3,5.0,4,0.154785,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:41:53.641094+00:00,"{""0000"": 1336, ""0010"": 839, ""0100"": 543, ""0110"": 716, ""1000"": 217, ""1100"": 113, ""1010"": 165, ""1110"": 97, ""0011"": 18, ""0111"": 16, ""0001"": 12, ""1001"": 4, ""1011"": 4, ""0101"": 11, ""1101"": 3, ""1111"": 2}"
j14_czne_destroyed,genuine,EQE1,4,1.0,4,0.753906,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:05.054813+00:00,"{""0000"": 3547, ""1000"": 223, ""0010"": 183, ""1100"": 8, ""0110"": 15, ""0100"": 56, ""0001"": 39, ""0011"": 9, ""1110"": 1, ""0111"": 1, ""1010"": 9, ""1011"": 1, ""0101"": 2, ""1001"": 2}"
j14_czne_destroyed,genuine,EQE1,4,3.0,4,0.421387,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:05.054813+00:00,"{""0000"": 2642, ""0100"": 318, ""0010"": 558, ""0110"": 148, ""1000"": 259, ""0001"": 31, ""1110"": 15, ""1010"": 54, ""0101"": 6, ""1100"": 42, ""0011"": 9, ""1011"": 2, ""0111"": 1, ""1001"": 9, ""1101"": 1, ""1111"": 1}"
j14_czne_destroyed,genuine,EQE1,4,5.0,4,0.133301,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:05.054813+00:00,"{""0110"": 723, ""0000"": 1306, ""0010"": 862, ""1110"": 121, ""0100"": 530, ""1000"": 235, ""1010"": 158, ""1100"": 110, ""0101"": 5, ""0011"": 13, ""1001"": 2, ""0001"": 15, ""1101"": 4, ""1111"": 4, ""0111"": 6, ""1011"": 2}"
j14_czne_destroyed,genuine,EQE1,5,1.0,4,0.756836,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:16.521928+00:00,"{""0000"": 3541, ""0001"": 53, ""1000"": 202, ""0101"": 1, ""0010"": 183, ""0110"": 20, ""1001"": 3, ""0011"": 14, ""0100"": 57, ""1100"": 13, ""1010"": 6, ""1110"": 3}"
j14_czne_destroyed,genuine,EQE1,5,3.0,4,0.401367,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:16.521928+00:00,"{""0000"": 2576, ""1000"": 288, ""0010"": 555, ""1101"": 2, ""0100"": 327, ""0110"": 169, ""0111"": 4, ""0001"": 34, ""1010"": 61, ""1100"": 46, ""0011"": 11, ""1110"": 16, ""1001"": 1, ""0101"": 6}"
j14_czne_destroyed,genuine,EQE1,5,5.0,4,0.134766,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:16.521928+00:00,"{""0100"": 559, ""0010"": 871, ""1000"": 215, ""0110"": 699, ""0111"": 16, ""0000"": 1314, ""1010"": 165, ""1100"": 116, ""1110"": 99, ""0001"": 11, ""0101"": 7, ""1111"": 2, ""0011"": 15, ""1001"": 6, ""1101"": 1}"
j14_czne_destroyed,genuine,EQE1,6,1.0,4,0.754883,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:25.996937+00:00,"{""0000"": 3547, ""0010"": 185, ""1000"": 207, ""0100"": 56, ""0001"": 51, ""0110"": 18, ""0011"": 11, ""1100"": 9, ""1001"": 2, ""1110"": 2, ""1010"": 7, ""1011"": 1}"
j14_czne_destroyed,genuine,EQE1,6,3.0,4,0.415527,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:25.996937+00:00,"{""0000"": 2620, ""0100"": 323, ""0010"": 545, ""0110"": 169, ""1000"": 266, ""1010"": 54, ""0011"": 13, ""0001"": 34, ""1110"": 22, ""1001"": 7, ""1101"": 3, ""1100"": 32, ""0101"": 3, ""0111"": 3, ""1011"": 1, ""1111"": 1}"
j14_czne_destroyed,genuine,EQE1,6,5.0,4,0.106445,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:25.996937+00:00,"{""0010"": 888, ""0110"": 707, ""0100"": 568, ""0000"": 1301, ""1000"": 240, ""1100"": 73, ""1110"": 111, ""0011"": 13, ""1010"": 155, ""0001"": 13, ""0101"": 12, ""0111"": 8, ""1101"": 1, ""1001"": 4, ""1111"": 1, ""1011"": 1}"
j14_czne_destroyed,genuine,EQE1,7,1.0,4,0.767578,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:35.497628+00:00,"{""0000"": 3564, ""0010"": 172, ""0100"": 63, ""0011"": 7, ""1000"": 186, ""1001"": 4, ""0110"": 20, ""0001"": 51, ""1100"": 15, ""1010"": 9, ""1011"": 3, ""0101"": 1, ""1110"": 1}"
j14_czne_destroyed,genuine,EQE1,7,3.0,4,0.425781,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:35.497628+00:00,"{""0000"": 2650, ""0100"": 313, ""0010"": 545, ""0110"": 149, ""1000"": 249, ""1010"": 63, ""0001"": 48, ""0111"": 4, ""1100"": 34, ""1110"": 15, ""0011"": 16, ""1011"": 1, ""1001"": 4, ""0101"": 4, ""1101"": 1}"
j14_czne_destroyed,genuine,EQE1,7,5.0,4,0.148926,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:35.497628+00:00,"{""0100"": 532, ""0000"": 1345, ""1100"": 123, ""0010"": 844, ""0110"": 708, ""0111"": 9, ""1000"": 221, ""1010"": 155, ""1001"": 2, ""1110"": 114, ""0011"": 9, ""1011"": 2, ""0101"": 10, ""0001"": 18, ""1101"": 3, ""1111"": 1}"
j14_czne_destroyed,genuine,EQE1,8,1.0,4,0.762207,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:44.893366+00:00,"{""0000"": 3545, ""1100"": 10, ""0010"": 159, ""1000"": 201, ""0001"": 64, ""0100"": 58, ""0011"": 12, ""1110"": 2, ""0110"": 20, ""0111"": 1, ""1010"": 16, ""1011"": 1, ""1001"": 5, ""1101"": 1, ""0101"": 1}"
j14_czne_destroyed,genuine,EQE1,8,3.0,4,0.416992,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:44.893366+00:00,"{""0000"": 2658, ""0010"": 555, ""1000"": 254, ""0110"": 131, ""0100"": 338, ""1100"": 41, ""0001"": 29, ""1010"": 54, ""1001"": 3, ""0011"": 11, ""1110"": 13, ""0101"": 4, ""0111"": 4, ""1101"": 1}"
j14_czne_destroyed,genuine,EQE1,8,5.0,4,0.110352,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:44.893366+00:00,"{""0010"": 857, ""0000"": 1327, ""0110"": 662, ""0100"": 594, ""1110"": 102, ""1100"": 110, ""1000"": 242, ""1010"": 153, ""0001"": 17, ""0011"": 13, ""0111"": 6, ""1011"": 4, ""0101"": 7, ""1111"": 1, ""1001"": 1}"
j14_czne_destroyed,genuine,EQE1,9,1.0,4,0.762207,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:54.323929+00:00,"{""0100"": 67, ""0001"": 52, ""0000"": 3555, ""1000"": 223, ""0011"": 12, ""0010"": 143, ""1010"": 9, ""1100"": 22, ""0101"": 4, ""0110"": 7, ""1110"": 2}"
j14_czne_destroyed,genuine,EQE1,9,3.0,4,0.426270,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:54.323929+00:00,"{""0000"": 2659, ""1000"": 233, ""0100"": 331, ""0010"": 558, ""1010"": 53, ""1110"": 14, ""1100"": 41, ""0110"": 150, ""0111"": 3, ""0001"": 35, ""0011"": 10, ""1101"": 1, ""1001"": 4, ""0101"": 4}"
j14_czne_destroyed,genuine,EQE1,9,5.0,4,0.127930,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:42:54.323929+00:00,"{""1000"": 242, ""0100"": 555, ""0000"": 1343, ""0010"": 848, ""0110"": 694, ""1100"": 100, ""0001"": 19, ""1110"": 112, ""1011"": 2, ""1001"": 5, ""1010"": 141, ""0101"": 9, ""0011"": 16, ""0111"": 7, ""1111"": 2, ""1101"": 1}"
j14_czne_destroyed,genuine,EQE1,10,1.0,4,0.746582,4096,0.981197,"[8, 9, 10, 11]",2026-06-21T19:43:03.671435+00:00,"{""0010"": 167, ""0000"": 3524, ""0001"": 52, ""1000"": 212, ""1001"": 4, ""0100"": 83, ""0110"": 18, ""1100"": 5, ""1110"": 2, ""1011"": 2, ""0011"": 15, ""1010"": 11, ""0111"": 1}"
