job,schedule,label,rep,n_qubits,exp_val,n_shots,ideal,timestamp
j12_drift_design_long,blocked,A,29,4,0.750977,4096,0.981197,2026-06-21T17:40:30.962360+00:00
j12_drift_design_long,blocked,A,30,4,0.742188,4096,0.981197,2026-06-21T17:40:43.803416+00:00
j12_drift_design_long,blocked,A,31,4,0.760742,4096,0.981197,2026-06-21T17:40:56.843050+00:00
j12_drift_design_long,blocked,A,32,4,0.754395,4096,0.981197,2026-06-21T17:41:09.896097+00:00
j12_drift_design_long,blocked,A,33,4,0.743652,4096,0.981197,2026-06-21T17:41:22.925250+00:00
j12_drift_design_long,blocked,A,34,4,0.759277,4096,0.981197,2026-06-21T17:41:35.968840+00:00
j12_drift_design_long,blocked,A,35,4,0.743652,4096,0.981197,2026-06-21T17:41:46.780626+00:00
j12_drift_design_long,blocked,A,36,4,0.762207,4096,0.981197,2026-06-21T17:42:02.014119+00:00
j12_drift_design_long,blocked,A,37,4,0.746094,4096,0.981197,2026-06-21T17:42:12.644945+00:00
j12_drift_design_long,blocked,A,38,4,0.757812,4096,0.981197,2026-06-21T17:42:25.674937+00:00
j12_drift_design_long,blocked,A,39,4,0.763184,4096,0.981197,2026-06-21T17:42:38.691262+00:00
j12_drift_design_long,blocked,A,40,4,0.765625,4096,0.981197,2026-06-21T17:42:51.650960+00:00
j12_drift_design_long,blocked,A,41,4,0.787109,4096,0.981197,2026-06-21T17:43:04.737005+00:00
j12_drift_design_long,blocked,A,42,4,0.753906,4096,0.981197,2026-06-21T17:43:17.535164+00:00
j12_drift_design_long,blocked,A,43,4,0.783691,4096,0.981197,2026-06-21T17:43:30.591764+00:00
j12_drift_design_long,blocked,A,44,4,0.761230,4096,0.981197,2026-06-21T17:43:41.380430+00:00
j12_drift_design_long,blocked,A,45,4,0.739746,4096,0.981197,2026-06-21T17:43:54.346252+00:00
j12_drift_design_long,blocked,A,46,4,0.742188,4096,0.981197,2026-06-21T17:44:07.506416+00:00
j12_drift_design_long,blocked,A,47,4,0.758789,4096,0.981197,2026-06-21T17:44:20.596586+00:00
j12_drift_design_long,blocked,A,48,4,0.764648,4096,0.981197,2026-06-21T17:44:35.736074+00:00
j12_drift_design_long,blocked,A,49,4,0.759277,4096,0.981197,2026-06-21T17:44:48.783967+00:00
j12_drift_design_long,blocked,A,50,4,0.769043,4096,0.981197,2026-06-21T17:45:01.794655+00:00
j12_drift_design_long,blocked,A,51,4,0.740723,4096,0.981197,2026-06-21T17:45:14.783444+00:00
j12_drift_design_long,blocked,A,52,4,0.752441,4096,0.981197,2026-06-21T17:45:27.996295+00:00
j12_drift_design_long,blocked,A,53,4,0.759277,4096,0.981197,2026-06-21T17:45:40.809693+00:00
j12_drift_design_long,blocked,A,54,4,0.768066,4096,0.981197,2026-06-21T17:45:51.439860+00:00
j12_drift_design_long,blocked,A,55,4,0.750977,4096,0.981197,2026-06-21T17:46:06.661064+00:00
j12_drift_design_long,blocked,A,56,4,0.749512,4096,0.981197,2026-06-21T17:46:17.409909+00:00
j12_drift_design_long,blocked,A,57,4,0.769043,4096,0.981197,2026-06-21T17:46:30.246804+00:00
j12_drift_design_long,blocked,A,58,4,0.744629,4096,0.981197,2026-06-21T17:46:43.333837+00:00
j12_drift_design_long,blocked,A,59,4,0.768555,4096,0.981197,2026-06-21T17:46:56.249113+00:00
j12_drift_design_long,blocked,B,0,4,0.742188,4096,0.981197,2026-06-21T17:47:09.001106+00:00
j12_drift_design_long,blocked,B,1,4,0.743164,4096,0.981197,2026-06-21T17:47:21.904959+00:00
j12_drift_design_long,blocked,B,2,4,0.751465,4096,0.981197,2026-06-21T17:47:34.756000+00:00
j12_drift_design_long,blocked,B,3,4,0.770020,4096,0.981197,2026-06-21T17:47:47.618086+00:00
j12_drift_design_long,blocked,B,4,4,0.768555,4096,0.981197,2026-06-21T17:48:00.613977+00:00
j12_drift_design_long,blocked,B,5,4,0.774902,4096,0.981197,2026-06-21T17:48:13.391431+00:00
j12_drift_design_long,blocked,B,6,4,0.758789,4096,0.981197,2026-06-21T17:48:24.258816+00:00
j12_drift_design_long,blocked,B,7,4,0.756348,4096,0.981197,2026-06-21T17:48:37.063750+00:00
j12_drift_design_long,blocked,B,8,4,0.750977,4096,0.981197,2026-06-21T17:48:49.795452+00:00
j12_drift_design_long,blocked,B,9,4,0.772949,4096,0.981197,2026-06-21T17:49:02.596912+00:00
j12_drift_design_long,blocked,B,10,4,0.754883,4096,0.981197,2026-06-21T17:49:15.702218+00:00
j12_drift_design_long,blocked,B,11,4,0.775391,4096,0.981197,2026-06-21T17:49:28.635919+00:00
j12_drift_design_long,blocked,B,12,4,0.775391,4096,0.981197,2026-06-21T17:49:41.617358+00:00
j12_drift_design_long,blocked,B,13,4,0.748535,4096,0.981197,2026-06-21T17:49:52.434163+00:00
j12_drift_design_long,blocked,B,14,4,0.738770,4096,0.981197,2026-06-21T17:50:07.600752+00:00
j12_drift_design_long,blocked,B,15,4,0.773438,4096,0.981197,2026-06-21T17:50:20.380815+00:00
j12_drift_design_long,blocked,B,16,4,0.766602,4096,0.981197,2026-06-21T17:50:31.167761+00:00
j12_drift_design_long,blocked,B,17,4,0.746094,4096,0.981197,2026-06-21T17:50:44.199367+00:00
j12_drift_design_long,blocked,B,18,4,0.745117,4096,0.981197,2026-06-21T17:50:57.196480+00:00
j12_drift_design_long,blocked,B,19,4,0.771484,4096,0.981197,2026-06-21T17:51:10.237439+00:00
j12_drift_design_long,blocked,B,20,4,0.732910,4096,0.981197,2026-06-21T17:51:23.335324+00:00
j12_drift_design_long,blocked,B,21,4,0.776367,4096,0.981197,2026-06-21T17:51:34.219814+00:00
j12_drift_design_long,blocked,B,22,4,0.759277,4096,0.981197,2026-06-21T17:51:49.344530+00:00
j12_drift_design_long,blocked,B,23,4,0.770508,4096,0.981197,2026-06-21T17:52:02.220776+00:00
j12_drift_design_long,blocked,B,24,4,0.761719,4096,0.981197,2026-06-21T17:52:15.046700+00:00
j12_drift_design_long,blocked,B,25,4,0.745605,4096,0.981197,2026-06-21T17:52:25.899096+00:00
j12_drift_design_long,blocked,B,26,4,0.774414,4096,0.981197,2026-06-21T17:52:38.627556+00:00
j12_drift_design_long,blocked,B,27,4,0.764160,4096,0.981197,2026-06-21T17:52:51.661465+00:00
j12_drift_design_long,blocked,B,28,4,0.764160,4096,0.981197,2026-06-21T17:53:04.668066+00:00
j12_drift_design_long,blocked,B,29,4,0.761230,4096,0.981197,2026-06-21T17:53:17.602450+00:00
j12_drift_design_long,blocked,B,30,4,0.755371,4096,0.981197,2026-06-21T17:53:30.502523+00:00
j12_drift_design_long,blocked,B,31,4,0.755371,4096,0.981197,2026-06-21T17:53:41.321040+00:00
j12_drift_design_long,blocked,B,32,4,0.746094,4096,0.981197,2026-06-21T17:53:56.165027+00:00
j12_drift_design_long,blocked,B,33,4,0.762695,4096,0.981197,2026-06-21T17:54:06.892098+00:00
j12_drift_design_long,blocked,B,34,4,0.752441,4096,0.981197,2026-06-21T17:54:21.890267+00:00
j12_drift_design_long,blocked,B,35,4,0.764160,4096,0.981197,2026-06-21T17:54:32.593464+00:00
j12_drift_design_long,blocked,B,36,4,0.767090,4096,0.981197,2026-06-21T17:54:45.505219+00:00
j12_drift_design_long,blocked,B,37,4,0.761719,4096,0.981197,2026-06-21T17:54:58.428496+00:00
j12_drift_design_long,blocked,B,38,4,0.758789,4096,0.981197,2026-06-21T17:55:11.312109+00:00
j12_drift_design_long,blocked,B,39,4,0.751465,4096,0.981197,2026-06-21T17:55:24.270090+00:00
j12_drift_design_long,blocked,B,40,4,0.758301,4096,0.981197,2026-06-21T17:55:37.376504+00:00
j12_drift_design_long,blocked,B,41,4,0.739746,4096,0.981197,2026-06-21T17:55:50.407077+00:00
j12_drift_design_long,blocked,B,42,4,0.735840,4096,0.981197,2026-06-21T17:56:03.486985+00:00
j12_drift_design_long,blocked,B,43,4,0.750977,4096,0.981197,2026-06-21T17:56:16.688783+00:00
j12_drift_design_long,blocked,B,44,4,0.749023,4096,0.981197,2026-06-21T17:56:27.656427+00:00
j12_drift_design_long,blocked,B,45,4,0.750977,4096,0.981197,2026-06-21T17:56:40.664543+00:00
j12_drift_design_long,blocked,B,46,4,0.764160,4096,0.981197,2026-06-21T17:56:53.685660+00:00
j12_drift_design_long,blocked,B,47,4,0.762207,4096,0.981197,2026-06-21T17:57:06.677441+00:00
j12_drift_design_long,blocked,B,48,4,0.761719,4096,0.981197,2026-06-21T17:57:19.554336+00:00
j12_drift_design_long,blocked,B,49,4,0.757812,4096,0.981197,2026-06-21T17:57:32.701800+00:00
j12_drift_design_long,blocked,B,50,4,0.735840,4096,0.981197,2026-06-21T17:57:43.585457+00:00
j12_drift_design_long,blocked,B,51,4,0.772461,4096,0.981197,2026-06-21T17:57:56.533718+00:00
j12_drift_design_long,blocked,B,52,4,0.773926,4096,0.981197,2026-06-21T17:58:09.359491+00:00
j12_drift_design_long,blocked,B,53,4,0.747559,4096,0.981197,2026-06-21T17:58:22.126221+00:00
j12_drift_design_long,blocked,B,54,4,0.734863,4096,0.981197,2026-06-21T17:58:35.316301+00:00
j12_drift_design_long,blocked,B,55,4,0.749023,4096,0.981197,2026-06-21T17:58:48.259082+00:00
j12_drift_design_long,blocked,B,56,4,0.756348,4096,0.981197,2026-06-21T17:59:01.332211+00:00
j12_drift_design_long,blocked,B,57,4,0.764648,4096,0.981197,2026-06-21T17:59:14.262616+00:00
j12_drift_design_long,blocked,B,58,4,0.777832,4096,0.981197,2026-06-21T17:59:24.879795+00:00
j12_drift_design_long,blocked,B,59,4,0.758789,4096,0.981197,2026-06-21T17:59:40.076771+00:00
j12_drift_design_long,interleaved,A,0,4,0.745117,4096,0.981197,2026-06-21T17:59:51.017290+00:00
j12_drift_design_long,interleaved,B,0,4,0.767090,4096,0.981197,2026-06-21T18:00:04.174493+00:00
j12_drift_design_long,interleaved,A,1,4,0.736328,4096,0.981197,2026-06-21T18:00:17.151178+00:00
j12_drift_design_long,interleaved,B,1,4,0.737793,4096,0.981197,2026-06-21T18:00:30.254165+00:00
j12_drift_design_long,interleaved,A,2,4,0.765625,4096,0.981197,2026-06-21T18:00:43.095254+00:00
j12_drift_design_long,interleaved,B,2,4,0.757324,4096,0.981197,2026-06-21T18:00:56.073787+00:00
j12_drift_design_long,interleaved,A,3,4,0.743652,4096,0.981197,2026-06-21T18:01:09.061118+00:00
j12_drift_design_long,interleaved,B,3,4,0.750977,4096,0.981197,2026-06-21T18:01:19.966260+00:00
j12_drift_design_long,interleaved,A,4,4,0.750977,4096,0.981197,2026-06-21T18:01:32.911582+00:00
j12_drift_design_long,interleaved,B,4,4,0.758301,4096,0.981197,2026-06-21T18:01:45.964037+00:00
j12_drift_design_long,interleaved,A,5,4,0.761719,4096,0.981197,2026-06-21T18:01:58.826055+00:00
j12_drift_design_long,interleaved,B,5,4,0.753418,4096,0.981197,2026-06-21T18:02:11.589858+00:00
